Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
96,John Collins\collijo01,PF,22,ATL,5,161,20.4,.621,.311,.279,6.9,23.5,15.2,7.9,1.5,5.7,9.3,19.5,,0.4,0.1,0.5,.144,,1.0,0.6,1.6,0.1
97,Zach Collins\colliza01,PF,22,POR,3,86,9.2,.624,.368,.316,4.7,9.4,7.1,9.3,0.0,1.9,21.7,13.3,,0.1,0.0,0.1,.049,,-1.8,-1.1,-2.9,0.0
98,Mike Conley\conlemi01,PG,32,UTA,16,491,13.4,.512,.424,.329,2.3,9.0,5.8,23.2,1.3,0.3,12.4,24.3,,0.2,0.7,1.0,.094,,-0.1,-0.2,-0.3,0.2
99,Pat Connaughton\connapa01,SG,27,MIL,14,233,13.3,.578,.627,.045,2.2,16.1,9.4,12.3,0.6,2.6,5.5,12.6,,0.4,0.3,0.7,.154,,0.4,0.8,1.2,0.2
100,Quinn Cook\cookqu01,PG,26,LAL,15,216,9.6,.479,.364,.039,2.1,8.0,5.1,17.1,1.3,0.4,13.3,17.8,,0.0,0.3,0.2,.049,,-3.0,-1.5,-4.5,-0.1
101,Tyler Cook\cookty01,PF,22,CLE,6,17,35.1,.872,.000,.333,18.6,12.9,15.8,0.0,2.8,0.0,12.7,19.8,,0.1,0.0,0.1,.323,,5.7,-5.6,0.1,0.0
102,Robert Covington\covinro01,PF,29,MIN,15,409,15.8,.615,.596,.255,2.7,18.3,10.5,5.1,2.5,3.1,13.3,17.9,,0.5,0.6,1.1,.125,,0.0,1.4,1.3,0.3
103,Allen Crabbe\crabbal01,SG,27,ATL,6,111,10.4,.554,.545,.212,2.0,12.0,7.0,2.6,1.3,1.7,10.0,15.0,,0.0,0.0,0.0,.019,,-2.2,-2.9,-5.2,-0.1
104,Torrey Craig\craigto01,SF,29,DEN,13,187,8.1,.400,.488,.220,4.9,15.0,9.9,10.6,1.3,5.5,10.0,11.5,,-0.1,0.3,0.3,.073,,-3.7,4.0,0.2,0.1
105,Jae Crowder\crowdja01,SF,29,MEM,15,458,11.7,.570,.742,.203,2.3,19.1,10.6,13.2,1.5,1.3,15.2,14.9,,0.3,0.3,0.5,.056,,0.2,0.0,0.2,0.3
106,Jarrett Culver\culveja01,SG,20,MIN,16,375,7.3,.426,.435,.197,3.8,8.9,6.4,13.0,1.7,1.7,13.1,19.9,,-0.6,0.3,-0.3,-0.032,,-4.1,-0.4,-4.5,-0.2
107,Seth Curry\curryse01,SG,29,DAL,14,295,11.2,.575,.614,.229,1.8,5.8,3.9,10.6,1.5,0.8,10.7,14.6,,0.4,0.2,0.6,.095,,0.6,-1.4,-0.8,0.1
108,Stephen Curry\curryst01,PG,31,GSW,4,112,21.2,.548,.561,.273,3.7,15.6,9.5,40.6,2.1,1.5,16.9,33.3,,0.1,0.0,0.2,.065,,5.0,-2.1,3.0,0.1
109,Troy Daniels\danietr01,SG,28,LAL,11,171,5.9,.448,.780,.051,1.9,8.9,5.5,4.6,0.8,0.5,6.2,16.0,,-0.1,0.2,0.1,.027,,-2.6,-2.2,-4.8,-0.1
110,Anthony Davis\davisan02,PF,26,LAL,15,524,27.2,.590,.182,.420,7.2,20.3,13.8,16.4,2.0,7.6,11.7,29.8,,1.5,1.3,2.7,.248,,2.2,4.5,6.7,1.2
111,Ed Davis\davised01,C,30,UTA,6,73,6.5,.425,.000,.400,14.0,30.9,22.9,1.9,0.7,3.5,29.8,10.0,,-0.1,0.2,0.1,.072,,-7.1,2.7,-4.4,0.0
